shot_distance,minutes_remaining,shot_type,game_date,matchup,opponent,action_type,shot_zone_area,period,shot_made_flag
18,5.47,2,2000-11-01,Casa,UTA,Running Jump Shot,Left Side Center,3,1.0
7,5.11,2,2000-11-01,Casa,UTA,Running Jump Shot,Center,3,1.0
0,2.36,2,2000-11-01,Casa,UTA,Layup Shot,Center,3,0.0
20,2.4,2,2000-11-01,Casa,UTA,Jump Shot,Center,3,0.0
26,0.3,3,2000-11-01,Casa,UTA,Jump Shot,Left Side Center,3,0.0
19,8.19,2,2000-11-01,Casa,UTA,Jump Shot,Right Side Center,4,0.0
8,6.22,2,2000-11-01,Casa,UTA,Jump Shot,Center,4,0.0
12,1.2,2,2000-11-01,Casa,UTA,Running Jump Shot,Right Side,4,1.0
13,0.3,2,2000-11-01,Casa,UTA,Jump Shot,Right Side,4,0.0
17,11.26,2,2000-11-04,Visitante,VAN,Jump Shot,Right Side,1,0.0
20,10.58,2,2000-11-04,Visitante,VAN,Jump Shot,Right Side Center,1,0.0
1,7.33,2,2000-11-04,Visitante,VAN,Layup Shot,Center,1,0.0
1,5.58,2,2000-11-04,Visitante,VAN,Layup Shot,Center,1,0.0
0,4.9,2,2000-11-04,Visitante,VAN,Reverse Layup Shot,Center,1,0.0
16,5.33,2,2000-11-04,Visitante,VAN,Jump Shot,Left Side Center,2,0.0
20,3.3,2,2000-11-04,Visitante,VAN,Jump Shot,Right Side Center,2,1.0
27,0.4,3,2000-11-04,Visitante,VAN,Jump Shot,Center,2,1.0
18,11.12,2,2000-11-04,Visitante,VAN,Jump Shot,Left Side,3,0.0
0,10.13,2,2000-11-04,Visitante,VAN,Layup Shot,Center,3,1.0
20,8.59,2,2000-11-04,Visitante,VAN,Jump Shot,Right Side Center,3,1.0
5,8.29,2,2000-11-04,Visitante,VAN,Jump Shot,Center,3,0.0
2,4.29,2,2000-11-04,Visitante,VAN,Layup Shot,Center,3,0.0
0,3.21,2,2000-11-04,Visitante,VAN,Layup Shot,Center,3,1.0
0,2.55,2,2000-11-04,Visitante,VAN,Reverse Dunk Shot,Center,3,0.0
0,2.38,2,2000-11-04,Visitante,VAN,Slam Dunk Shot,Center,3,1.0
17,4.55,2,2000-11-04,Visitante,VAN,Jump Shot,Right Side Center,4,1.0
17,3.19,2,2000-11-04,Visitante,VAN,Jump Shot,Left Side,4,0.0
0,1.8,2,2000-11-04,Visitante,VAN,Layup Shot,Center,4,0.0
1,1.6,2,2000-11-04,Visitante,VAN,Layup Shot,Center,4,0.0
7,10.33,2,2000-11-05,Casa,LAC,Jump Shot,Center,1,0.0
18,10.4,2,2000-11-05,Casa,LAC,Jump Shot,Left Side,1,0.0
28,4.58,3,2000-11-05,Casa,LAC,Jump Shot,Left Side Center,1,0.0
24,2.33,3,2000-11-05,Casa,LAC,Jump Shot,Left Side Center,1,0.0
22,11.26,3,2000-11-05,Casa,LAC,Jump Shot,Center,2,1.0
0,8.4,2,2000-11-05,Casa,LAC,Driving Layup Shot,Center,2,1.0
0,4.5,2,2000-11-05,Casa,LAC,Slam Dunk Shot,Center,2,1.0
28,3.1,3,2000-11-05,Casa,LAC,Jump Shot,Right Side Center,2,0.0
11,2.2,2,2000-11-05,Casa,LAC,Jump Shot,Center,2,0.0
5,0.47,2,2000-11-05,Casa,LAC,Layup Shot,Center,2,1.0
0,9.32,2,2000-11-05,Casa,LAC,Driving Layup Shot,Center,3,0.0
5,0.37,2,2000-11-05,Casa,LAC,Driving Layup Shot,Center,3,0.0
12,0.1,2,2000-11-05,Casa,LAC,Running Jump Shot,Right Side,3,1.0
9,10.13,2,2000-11-05,Casa,LAC,Jump Shot,Center,4,0.0
12,9.6,2,2000-11-07,Visitante,HOU,Jump Shot,Left Side,1,0.0
23,8.17,3,2000-11-07,Visitante,HOU,Jump Shot,Right Side,1,0.0
0,7.53,2,2000-11-07,Visitante,HOU,Driving Layup Shot,Center,1,1.0
0,7.1,2,2000-11-07,Visitante,HOU,Driving Dunk Shot,Center,1,1.0
19,5.15,2,2000-11-07,Visitante,HOU,Jump Shot,Right Side,1,0.0
25,3.11,3,2000-11-07,Visitante,HOU,Jump Shot,Center,1,1.0
0,7.56,2,2000-11-07,Visitante,HOU,Driving Layup Shot,Center,2,1.0
7,2.4,2,2000-11-07,Visitante,HOU,Jump Shot,Center,2,0.0
25,0.1,3,2000-11-07,Visitante,HOU,Jump Shot,Right Side Center,2,0.0
22,11.2,2,2000-11-07,Visitante,HOU,Jump Shot,Left Side Center,3,1.0
5,9.1,2,2000-11-07,Visitante,HOU,Jump Shot,Center,3,0.0
13,7.24,2,2000-11-07,Visitante,HOU,Jump Shot,Left Side,3,0.0
8,0.1,2,2000-11-07,Visitante,HOU,Jump Shot,Left Side,3,0.0
7,11.49,2,2000-11-07,Visitante,HOU,Jump Shot,Center,4,0.0
13,5.1,2,2000-11-07,Visitante,HOU,Jump Shot,Center,4,1.0
15,0.46,2,2000-11-07,Visitante,HOU,Jump Shot,Center,4,0.0
24,11.41,3,2000-11-08,Visitante,SAS,Jump Shot,Right Side Center,1,0.0
0,10.59,2,2000-11-08,Visitante,SAS,Slam Dunk Shot,Center,1,0.0
7,9.48,2,2000-11-08,Visitante,SAS,Jump Shot,Center,1,0.0
13,7.26,2,2000-11-08,Visitante,SAS,Turnaround Jump Shot,Left Side,1,0.0
18,6.36,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side Center,1,1.0
19,5.54,2,2000-11-08,Visitante,SAS,Jump Shot,Center,1,1.0
15,2.24,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side,1,1.0
14,1.48,2,2000-11-08,Visitante,SAS,Turnaround Jump Shot,Right Side,1,1.0
15,1.25,2,2000-11-08,Visitante,SAS,Jump Shot,Center,1,1.0
15,0.47,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side,1,1.0
13,10.57,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side,2,0.0
15,9.37,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side,2,0.0
13,4.25,2,2000-11-08,Visitante,SAS,Turnaround Jump Shot,Right Side,2,0.0
25,3.5,3,2000-11-08,Visitante,SAS,Jump Shot,Center,2,1.0
18,3.15,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side Center,2,1.0
24,0.53,3,2000-11-08,Visitante,SAS,Jump Shot,Left Side Center,2,0.0
14,0.48,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side,2,1.0
4,11.26,2,2000-11-08,Visitante,SAS,Jump Shot,Center,3,0.0
15,9.2,2,2000-11-08,Visitante,SAS,Jump Shot,Center,3,0.0
0,7.53,2,2000-11-08,Visitante,SAS,Slam Dunk Shot,Center,3,1.0
17,6.4,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side Center,3,1.0
17,4.16,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side Center,3,0.0
12,3.0,2,2000-11-08,Visitante,SAS,Jump Shot,Right Side,3,0.0
19,0.48,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side,3,0.0
17,0.21,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side,3,0.0
11,10.39,2,2000-11-08,Visitante,SAS,Jump Shot,Center,4,0.0
16,7.8,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side Center,4,0.0
16,6.25,2,2000-11-08,Visitante,SAS,Turnaround Jump Shot,Left Side,4,1.0
9,5.14,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side,4,0.0
7,3.38,2,2000-11-08,Visitante,SAS,Jump Shot,Center,4,0.0
21,0.43,2,2000-11-08,Visitante,SAS,Jump Shot,Left Side Center,4,0.0
21,11.9,2,2000-11-12,Casa,HOU,Jump Shot,Left Side Center,1,0.0
0,10.17,2,2000-11-12,Casa,HOU,Driving Layup Shot,Center,1,0.0
0,9.23,2,2000-11-12,Casa,HOU,Reverse Layup Shot,Center,1,0.0
0,9.21,2,2000-11-12,Casa,HOU,Tip Shot,Center,1,0.0
0,3.2,2,2000-11-12,Casa,HOU,Slam Dunk Shot,Center,1,1.0
0,0.44,2,2000-11-12,Casa,HOU,Driving Layup Shot,Center,1,1.0
16,0.21,2,2000-11-12,Casa,HOU,Jump Shot,Right Side Center,1,0.0
18,8.5,2,2000-11-12,Casa,HOU,Jump Shot,Left Side Center,2,1.0
0,8.18,2,2000-11-12,Casa,HOU,Driving Dunk Shot,Center,2,1.0
16,2.4,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,2,0.0
0,0.3,2,2000-11-12,Casa,HOU,Running Hook Shot,Center,2,1.0
27,0.4,3,2000-11-12,Casa,HOU,Jump Shot,Center,2,1.0
16,9.59,2,2000-11-12,Casa,HOU,Running Jump Shot,Left Side Center,3,0.0
15,8.38,2,2000-11-12,Casa,HOU,Jump Shot,Right Side,3,1.0
15,5.18,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,3,1.0
15,4.34,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,3,0.0
17,3.51,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,3,0.0
9,3.4,2,2000-11-12,Casa,HOU,Jump Shot,Center,3,0.0
11,3.33,2,2000-11-12,Casa,HOU,Jump Shot,Center,3,1.0
0,2.56,2,2000-11-12,Casa,HOU,Reverse Layup Shot,Center,3,0.0
17,2.5,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,3,0.0
17,0.14,2,2000-11-12,Casa,HOU,Jump Shot,Left Side Center,3,0.0
4,10.52,2,2000-11-12,Casa,HOU,Jump Shot,Center,4,0.0
11,6.34,2,2000-11-12,Casa,HOU,Jump Shot,Left Side,4,0.0
5,4.57,2,2000-11-12,Casa,HOU,Jump Shot,Center,4,0.0
0,3.28,2,2000-11-12,Casa,HOU,Driving Dunk Shot,Center,4,1.0
5,1.38,2,2000-11-12,Casa,HOU,Running Jump Shot,Center,4,1.0
5,1.5,2,2000-11-12,Casa,HOU,Jump Shot,Center,4,0.0
0,1.3,2,2000-11-12,Casa,HOU,Tip Shot,Center,4,0.0
0,7.43,2,2000-11-14,Casa,DEN,Driving Layup Shot,Center,1,0.0
23,4.52,3,2000-11-14,Casa,DEN,Jump Shot,Right Side,1,0.0
0,3.8,2,2000-11-14,Casa,DEN,Alley Oop Dunk Shot,Center,1,1.0
12,2.25,2,2000-11-14,Casa,DEN,Jump Shot,Right Side,1,1.0
13,0.48,2,2000-11-14,Casa,DEN,Jump Shot,Left Side,1,1.0
18,11.16,2,2000-11-14,Casa,DEN,Jump Shot,Right Side,2,0.0
27,10.19,3,2000-11-14,Casa,DEN,Jump Shot,Right Side Center,2,0.0
0,10.5,2,2000-11-14,Casa,DEN,Driving Layup Shot,Center,2,0.0
20,9.7,2,2000-11-14,Casa,DEN,Running Jump Shot,Right Side Center,2,1.0
16,4.14,2,2000-11-14,Casa,DEN,Jump Shot,Center,2,0.0
0,3.22,2,2000-11-14,Casa,DEN,Driving Layup Shot,Center,2,0.0
0,1.54,2,2000-11-14,Casa,DEN,Layup Shot,Center,2,0.0
0,0.28,2,2000-11-14,Casa,DEN,Driving Layup Shot,Center,2,0.0
0,0.26,2,2000-11-14,Casa,DEN,Tip Shot,Center,2,0.0
20,10.23,2,2000-11-14,Casa,DEN,Jump Shot,Right Side Center,3,0.0
7,5.23,2,2000-11-14,Casa,DEN,Jump Shot,Center,3,0.0
0,3.53,2,2000-11-14,Casa,DEN,Reverse Dunk Shot,Center,3,0.0
0,0.37,2,2000-11-14,Casa,DEN,Driving Dunk Shot,Center,3,1.0
25,11.43,3,2000-11-14,Casa,DEN,Jump Shot,Right Side Center,4,1.0
0,10.28,2,2000-11-14,Casa,DEN,Layup Shot,Center,4,1.0
0,10.11,2,2000-11-14,Casa,DEN,Slam Dunk Shot,Center,4,1.0
0,5.37,2,2000-11-14,Casa,DEN,Layup Shot,Center,4,0.0
0,5.32,2,2000-11-14,Casa,DEN,Dunk Shot,Center,4,0.0
21,11.42,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side Center,1,1.0
21,11.7,2,2000-11-16,Visitante,SAC,Jump Shot,Left Side Center,1,0.0
16,8.53,2,2000-11-16,Visitante,SAC,Jump Shot,Left Side,1,0.0
7,8.16,2,2000-11-16,Visitante,SAC,Jump Shot,Center,1,0.0
0,7.43,2,2000-11-16,Visitante,SAC,Driving Layup Shot,Center,1,0.0
5,2.47,2,2000-11-16,Visitante,SAC,Jump Shot,Center,1,1.0
20,1.36,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side Center,1,0.0
20,1.5,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side,1,0.0
21,8.13,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side Center,2,1.0
16,6.27,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side,2,1.0
18,0.52,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side Center,2,0.0
16,0.19,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side,2,0.0
47,0.0,3,2000-11-16,Visitante,SAC,Jump Shot,Back Court,2,0.0
13,8.52,2,2000-11-16,Visitante,SAC,Jump Shot,Center,3,0.0
19,2.55,2,2000-11-16,Visitante,SAC,Jump Shot,Right Side,3,0.0
24,0.1,3,2000-11-16,Visitante,SAC,Jump Shot,Right Side Center,3,0.0
0,11.44,2,2000-11-16,Visitante,SAC,Alley Oop Dunk Shot,Center,4,0.0
24,9.18,3,2000-11-16,Visitante,SAC,Jump Shot,Center,4,0.0
25,5.43,3,2000-11-16,Visitante,SAC,Jump Shot,Left Side Center,4,0.0
24,0.2,3,2000-11-16,Visitante,SAC,Jump Shot,Center,4,1.0
9,2.5,2,2000-11-16,Visitante,SAC,Jump Shot,Center,5,1.0
10,2.7,2,2000-11-16,Visitante,SAC,Jump Shot,Center,5,0.0
21,0.24,2,2000-11-16,Visitante,SAC,Jump Shot,Left Side Center,5,1.0
19,10.5,2,2000-11-18,Visitante,DEN,Jump Shot,Left Side Center,1,1.0
25,9.7,3,2000-11-18,Visitante,DEN,Jump Shot,Right Side Center,1,0.0
0,8.15,2,2000-11-18,Visitante,DEN,Driving Layup Shot,Center,1,0.0
17,6.24,2,2000-11-18,Visitante,DEN,Jump Shot,Right Side,1,0.0
0,6.2,2,2000-11-18,Visitante,DEN,Driving Layup Shot,Center,1,0.0
18,4.22,2,2000-11-18,Visitante,DEN,Jump Shot,Left Side Center,1,0.0
0,4.9,2,2000-11-18,Visitante,DEN,Alley Oop Dunk Shot,Center,1,1.0
15,0.18,2,2000-11-18,Visitante,DEN,Jump Shot,Right Side,1,0.0
9,11.19,2,2000-11-18,Visitante,DEN,Jump Shot,Center,2,0.0
19,6.51,2,2000-11-18,Visitante,DEN,Jump Shot,Right Side Center,2,1.0
25,6.11,3,2000-11-18,Visitante,DEN,Jump Shot,Right Side Center,2,1.0
16,0.21,2,2000-11-18,Visitante,DEN,Jump Shot,Right Side,2,0.0
29,11.17,3,2000-11-18,Visitante,DEN,Jump Shot,Left Side Center,3,0.0
17,10.5,2,2000-11-18,Visitante,DEN,Jump Shot,Left Side,3,0.0
16,8.35,2,2000-11-18,Visitante,DEN,Jump Shot,Right Side,3,0.0
15,6.24,2,2000-11-18,Visitante,DEN,Jump Shot,Center,3,1.0
18,5.1,2,2000-11-18,Visitante,DEN,Jump Shot,Left Side,3,1.0
23,3.21,3,2000-11-18,Visitante,DEN,Jump Shot,Right Side,3,1.0
22,0.47,3,2000-11-18,Visitante,DEN,Jump Shot,Left Side,3,1.0
0,11.1,2,2000-11-18,Visitante,DEN,Driving Layup Shot,Center,4,0.0
0,7.1,2,2000-11-18,Visitante,DEN,Reverse Dunk Shot,Center,4,1.0
26,5.19,3,2000-11-18,Visitante,DEN,Jump Shot,Left Side Center,4,0.0
20,3.38,2,2000-11-18,Visitante,DEN,Jump Shot,Left Side Center,4,0.0
8,1.18,2,2000-11-18,Visitante,DEN,Jump Shot,Center,4,1.0
9,0.46,2,2000-11-18,Visitante,DEN,Jump Shot,Center,4,0.0
24,9.3,3,2000-11-19,Casa,CHI,Jump Shot,Center,1,0.0
9,6.1,2,2000-11-19,Casa,CHI,Jump Shot,Center,1,0.0
0,3.1,2,2000-11-19,Casa,CHI,Slam Dunk Shot,Center,1,1.0
0,0.13,2,2000-11-19,Casa,CHI,Layup Shot,Center,1,0.0
0,7.24,2,2000-11-19,Casa,CHI,Slam Dunk Shot,Center,2,1.0
17,6.3,2,2000-11-19,Casa,CHI,Jump Shot,Right Side Center,2,0.0
23,0.44,2,2000-11-19,Casa,CHI,Jump Shot,Right Side Center,2,0.0
0,11.24,2,2000-11-19,Casa,CHI,Slam Dunk Shot,Center,3,1.0
0,10.19,2,2000-11-19,Casa,CHI,Layup Shot,Center,3,1.0
18,9.45,2,2000-11-19,Casa,CHI,Jump Shot,Right Side Center,3,0.0
20,7.22,2,2000-11-19,Casa,CHI,Jump Shot,Right Side Center,3,1.0
12,6.43,2,2000-11-19,Casa,CHI,Jump Shot,Center,3,0.0
11,4.55,2,2000-11-19,Casa,CHI,Running Jump Shot,Left Side,3,1.0
0,1.34,2,2000-11-19,Casa,CHI,Driving Layup Shot,Center,3,0.0
0,0.4,2,2000-11-19,Casa,CHI,Driving Dunk Shot,Center,3,0.0
27,11.13,3,2000-11-19,Casa,CHI,Jump Shot,Right Side Center,4,0.0
22,10.52,2,2000-11-19,Casa,CHI,Jump Shot,Left Side Center,4,0.0
0,10.12,2,2000-11-19,Casa,CHI,Driving Layup Shot,Center,4,0.0
0,10.8,2,2000-11-19,Casa,CHI,Layup Shot,Center,4,0.0
8,2.2,2,2000-11-19,Casa,CHI,Running Jump Shot,Center,4,1.0
18,1.37,2,2000-11-19,Casa,CHI,Jump Shot,Left Side Center,4,0.0
21,0.31,2,2000-11-19,Casa,CHI,Jump Shot,Left Side,4,0.0
18,10.5,2,2000-11-22,Casa,GSW,Jump Shot,Left Side Center,1,1.0
18,8.0,2,2000-11-22,Casa,GSW,Jump Shot,Center,1,0.0
25,4.58,3,2000-11-22,Casa,GSW,Jump Shot,Center,1,0.0
0,2.36,2,2000-11-22,Casa,GSW,Driving Layup Shot,Center,1,1.0
0,2.2,2,2000-11-22,Casa,GSW,Layup Shot,Center,1,0.0
0,2.8,2,2000-11-22,Casa,GSW,Slam Dunk Shot,Center,1,1.0
26,1.43,3,2000-11-22,Casa,GSW,Jump Shot,Right Side Center,1,1.0
0,10.17,2,2000-11-22,Casa,GSW,Alley Oop Dunk Shot,Center,2,1.0
18,9.16,2,2000-11-22,Casa,GSW,Jump Shot,Left Side Center,2,1.0
0,3.34,2,2000-11-22,Casa,GSW,Alley Oop Dunk Shot,Center,2,1.0
18,2.3,2,2000-11-22,Casa,GSW,Jump Shot,Right Side Center,2,1.0
0,9.52,2,2000-11-22,Casa,GSW,Driving Dunk Shot,Center,3,1.0
0,9.12,2,2000-11-22,Casa,GSW,Driving Layup Shot,Center,3,1.0
26,6.31,3,2000-11-22,Casa,GSW,Jump Shot,Right Side Center,3,1.0
0,6.9,2,2000-11-22,Casa,GSW,Dunk Shot,Center,3,0.0
16,5.2,2,2000-11-22,Casa,GSW,Turnaround Jump Shot,Right Side,3,0.0
0,2.6,2,2000-11-22,Casa,GSW,Layup Shot,Center,3,0.0
0,2.0,2,2000-11-22,Casa,GSW,Driving Layup Shot,Center,3,1.0
0,1.26,2,2000-11-22,Casa,GSW,Layup Shot,Center,3,1.0
7,10.33,2,2000-11-24,Casa,MIN,Jump Shot,Center,1,0.0
10,7.33,2,2000-11-24,Casa,MIN,Running Jump Shot,Left Side,1,1.0
18,6.22,2,2000-11-24,Casa,MIN,Jump Shot,Right Side Center,1,0.0
0,5.52,2,2000-11-24,Casa,MIN,Reverse Layup Shot,Center,1,1.0
11,3.56,2,2000-11-24,Casa,MIN,Jump Shot,Right Side,1,1.0
18,3.25,2,2000-11-24,Casa,MIN,Jump Shot,Right Side Center,1,0.0
13,1.4,2,2000-11-24,Casa,MIN,Jump Shot,Left Side,1,1.0
7,10.53,2,2000-11-24,Casa,MIN,Jump Shot,Center,3,0.0
0,9.45,2,2000-11-24,Casa,MIN,Dunk Shot,Center,3,1.0
17,9.18,2,2000-11-24,Casa,MIN,Jump Shot,Right Side Center,3,0.0
20,6.24,2,2000-11-24,Casa,MIN,Jump Shot,Left Side Center,3,0.0
0,5.58,2,2000-11-24,Casa,MIN,Layup Shot,Center,3,1.0
14,3.12,2,2000-11-24,Casa,MIN,Turnaround Jump Shot,Left Side,3,0.0
23,2.42,3,2000-11-24,Casa,MIN,Jump Shot,Right Side,3,0.0
17,0.21,2,2000-11-24,Casa,MIN,Jump Shot,Center,3,1.0
25,11.38,3,2000-11-24,Casa,MIN,Jump Shot,Right Side Center,4,1.0
14,9.5,2,2000-11-24,Casa,MIN,Running Jump Shot,Right Side,4,0.0
9,9.36,2,2000-11-24,Casa,MIN,Turnaround Jump Shot,Center,4,1.0
22,7.3,2,2000-11-24,Casa,MIN,Jump Shot,Left Side Center,4,1.0
18,5.24,2,2000-11-24,Casa,MIN,Running Jump Shot,Left Side Center,4,1.0
11,10.25,2,2000-11-27,Visitante,LAC,Running Jump Shot,Center,1,0.0
0,7.14,2,2000-11-27,Visitante,LAC,Driving Layup Shot,Center,1,1.0
15,6.17,2,2000-11-27,Visitante,LAC,Jump Shot,Right Side,1,0.0
26,5.44,3,2000-11-27,Visitante,LAC,Jump Shot,Left Side Center,1,1.0
0,5.17,2,2000-11-27,Visitante,LAC,Alley Oop Dunk Shot,Center,1,0.0
16,7.18,2,2000-11-27,Visitante,LAC,Jump Shot,Right Side Center,2,1.0
7,6.35,2,2000-11-27,Visitante,LAC,Running Jump Shot,Center,2,1.0
17,2.38,2,2000-11-27,Visitante,LAC,Jump Shot,Right Side Center,2,0.0
0,2.8,2,2000-11-27,Visitante,LAC,Driving Layup Shot,Center,2,1.0
0,1.39,2,2000-11-27,Visitante,LAC,Layup Shot,Center,2,1.0
25,0.36,3,2000-11-27,Visitante,LAC,Jump Shot,Right Side Center,2,1.0
18,11.24,2,2000-11-27,Visitante,LAC,Jump Shot,Left Side Center,3,0.0
27,7.2,3,2000-11-27,Visitante,LAC,Jump Shot,Right Side Center,3,0.0
9,4.53,2,2000-11-27,Visitante,LAC,Turnaround Jump Shot,Left Side,3,1.0
25,3.42,3,2000-11-27,Visitante,LAC,Jump Shot,Right Side Center,3,0.0
5,2.15,2,2000-11-27,Visitante,LAC,Alley Oop Layup shot,Center,3,1.0
0,0.54,2,2000-11-27,Visitante,LAC,Driving Layup Shot,Center,3,0.0
20,11.7,2,2000-11-27,Visitante,LAC,Jump Shot,Right Side,4,1.0
12,10.39,2,2000-11-27,Visitante,LAC,Jump Shot,Center,4,0.0
24,9.42,3,2000-11-28,Casa,IND,Jump Shot,Right Side,1,1.0
26,5.0,3,2000-11-28,Casa,IND,Jump Shot,Right Side Center,1,1.0
20,3.3,2,2000-11-28,Casa,IND,Jump Shot,Left Side Center,1,1.0
17,11.8,2,2000-11-28,Casa,IND,Jump Shot,Right Side Center,2,0.0
17,8.4,2,2000-11-28,Casa,IND,Jump Shot,Right Side Center,2,0.0
12,8.11,2,2000-11-28,Casa,IND,Running Jump Shot,Left Side,2,0.0
15,6.11,2,2000-11-28,Casa,IND,Turnaround Jump Shot,Left Side,2,0.0
10,5.47,2,2000-11-28,Casa,IND,Running Jump Shot,Left Side,2,0.0
18,3.47,2,2000-11-28,Casa,IND,Jump Shot,Right Side,2,0.0
0,2.54,2,2000-11-28,Casa,IND,Driving Layup Shot,Center,2,1.0
0,8.22,2,2000-11-28,Casa,IND,Slam Dunk Shot,Center,3,1.0
28,7.22,3,2000-11-28,Casa,IND,Jump Shot,Right Side Center,3,0.0
7,6.52,2,2000-11-28,Casa,IND,Jump Shot,Center,3,0.0
4,6.48,2,2000-11-28,Casa,IND,Jump Shot,Center,3,0.0
15,4.58,2,2000-11-28,Casa,IND,Jump Shot,Right Side,3,0.0
0,4.3,2,2000-11-28,Casa,IND,Driving Layup Shot,Center,3,1.0
18,3.18,2,2000-11-28,Casa,IND,Jump Shot,Right Side Center,3,0.0
9,2.57,2,2000-11-28,Casa,IND,Jump Shot,Left Side,3,0.0
18,2.19,2,2000-11-28,Casa,IND,Running Jump Shot,Left Side Center,3,1.0
0,1.15,2,2000-11-28,Casa,IND,Running Dunk Shot,Center,3,0.0
42,0.0,3,2000-11-28,Casa,IND,Jump Shot,Back Court,3,0.0
15,10.32,2,2000-11-28,Casa,IND,Jump Shot,Center,4,0.0
27,10.6,3,2000-11-28,Casa,IND,Jump Shot,Left Side Center,4,1.0
24,9.23,3,2000-11-28,Casa,IND,Jump Shot,Left Side Center,4,0.0
13,10.59,2,2000-11-30,Visitante,SEA,Jump Shot,Left Side,1,1.0
12,8.37,2,2000-11-30,Visitante,SEA,Jump Shot,Left Side,1,0.0
15,7.1,2,2000-11-30,Visitante,SEA,Jump Shot,Left Side,1,0.0
3,0.48,2,2000-11-30,Visitante,SEA,Running Jump Shot,Center,1,1.0
25,0.24,3,2000-11-30,Visitante,SEA,Jump Shot,Center,1,0.0
48,0.0,3,2000-11-30,Visitante,SEA,Jump Shot,Back Court,1,0.0
3,11.48,2,2000-11-30,Visitante,SEA,Layup Shot,Center,2,0.0
3,9.0,2,2000-11-30,Visitante,SEA,Jump Shot,Center,2,0.0
3,1.54,2,2000-11-30,Visitante,SEA,Jump Shot,Center,2,0.0
24,0.28,3,2000-11-30,Visitante,SEA,Jump Shot,Right Side Center,2,0.0
13,10.59,2,2000-11-30,Visitante,SEA,Jump Shot,Right Side,3,0.0
0,9.37,2,2000-11-30,Visitante,SEA,Slam Dunk Shot,Center,3,1.0
26,9.6,3,2000-11-30,Visitante,SEA,Jump Shot,Right Side Center,3,0.0
0,7.2,2,2000-11-30,Visitante,SEA,Slam Dunk Shot,Center,3,1.0
